NODES: 140
ARCS: 2433

NODE
Idn                                      x               y               Type           
1118     F_32                                     F_26                                     50.36                USED      
1122     F_32                                     H_Bergamo_1_dest_29                      35.22                USED      
1136     F_16                                     H_Pavia_10_dest_40                       28.58                USED      
1160     F_16                                     F_17                                     29.11                USED      
1177     H_Pavia_10_origin_3                      F_23                                     28.04                USED      
1203     H_Cremona_2_origin_47                    F_18                                     44.92                USED      
1223     F_25                                     H_Cremona_1_dest_32                      47.78                USED      
1226     F_25                                     H_Cremona_1_dest_5                       47.78                USED      
1230     F_25                                     H_Cremona_1_dest_9                       47.78                USED      
1234     F_25                                     H_Cremona_2_dest_58                      17.96                USED      
1264     H_Pavia_10_origin_53                     F_22                                     22.43                USED      
1286     H_Parma_1_origin_59                      F_12                                     38.36                USED      
1304     HUB_2                                    F_31                                     21.41                USED      
1312     HUB_2                                    H_Milano_2_origin_52                     29.86                USED      
1339     HUB_2                                    F_23                                     29.74                USED      
1340     HUB_2                                    H_Milano_3_origin_27                     33.59                USED      
1362     HUB_2                                    H_Milano_3_origin_18                     33.59                USED      
1363     HUB_2                                    H_Milano_2_origin_8                      29.86                USED      
1371     HUB_2                                    H_Milano_3_origin_13                     33.59                USED      
1401     H_Pavia_10_origin_55                     H_Pavia_5_dest_55                        32.85                USED      
1430     F_22                                     H_Milano_1_dest_44                       41.99                USED      
1446     F_22                                     H_Milano_2_dest_6                        36.27                USED      
1456     F_22                                     H_Pavia_9_dest_13                        21.42                USED      
1461     F_22                                     H_Pavia_8_dest_45                        20.20                USED      
1465     F_22                                     H_Milano_1_dest_53                       41.99                USED      
1471     F_22                                     H_Milano_2_dest_57                       36.27                USED      
1472     F_26                                     H_Cremona_1_dest_39                      29.32                USED      
1478     F_26                                     F_19                                     41.22                USED      
1480     F_26                                     F_33                                     41.22                USED      
1484     F_26                                     F_32                                     50.36                USED      
1486     F_26                                     H_Cremona_2_origin_47                    11.04                USED      
1488     F_26                                     H_Cremona_2_origin_28                    11.04                USED      
1489     F_26                                     H_Cremona_2_origin_14                    11.04                USED      
1502     F_39                                     F_33                                     50.30                USED      
1513     F_39                                     H_Bergamo_3_dest_2                       15.80                USED      
1514     H_Cremona_2_origin_28                    F_24                                     46.96                USED      
1539     H_Cremona_2_origin_14                    F_18                                     44.92                USED      
1573     H_Pavia_8_origin_35                      F_16                                     30.62                USED      
1627     H_Pavia_8_origin_7                       H_Pavia_5_dest_7                         34.82                USED      
1629     H_Pavia_9_origin_5                       F_24                                     51.39                USED      
1687     H_Pavia_8_origin_57                      F_22                                     20.20                USED      
1702     H_Pavia_1_origin_20                      H_Pavia_8_dest_20                        36.62                USED      
1760     F_5                                      H_Parma_3_dest_16                        42.12                USED      
1779     H_Pavia_9_origin_12                      F_16                                     29.26                USED      
1800     H_Milano_1_origin_2                      F_31                                     45.24                USED      
1839     H_Piacenza_1_origin_43                   F_11                                     28.38                USED      
1850     H_Milano_3_origin_41                     F_31                                     48.65                USED      
1894     H_Parma_1_origin_24                      H_Piacenza_1_dest_24                     42.59                USED      
1904     H_Milano_3_origin_18                     F_31                                     48.65                USED      
1947     H_Milano_2_origin_8                      F_23                                     37.28                USED      
1981     H_Pavia_5_origin_38                      H_Pavia_1_dest_38                        8.42                 USED      
2018     H_Parma_3_origin_37                      F_13                                     28.59                USED      
2038     H_Pavia_9_origin_51                      F_16                                     29.26                USED      
2080     H_Pavia_9_origin_44                      F_22                                     21.42                USED      
2095     H_Pavia_9_origin_9                       F_24                                     51.39                USED      
2134     H_Cremona_1_origin_40                    F_18                                     41.43                USED      
2169     H_Milano_3_origin_13                     F_22                                     36.04                USED      
2183     F_17                                     F_18                                     29.11                USED      
2188     F_17                                     H_Piacenza_2_dest_49                     48.55                USED      
2191     F_17                                     F_11                                     50.49                USED      
2193     F_17                                     F_23                                     50.42                USED      
2196     F_17                                     F_16                                     29.11                USED      
2198     F_17                                     F_25                                     50.42                USED      
2200     F_17                                     H_Piacenza_2_dest_35                     48.55                USED      
2218     H_Piacenza_1_origin_16                   F_5                                      24.56                USED      
2230     HUB_1                                    H_Cremona_1_origin_1                     22.87                USED      
2231     HUB_1                                    F_20                                     8.30                 USED      
2234     HUB_1                                    H_Parma_2_origin_48                      51.05                USED      
2267     HUB_1                                    F_26                                     46.36                USED      
2289     HUB_1                                    H_Cremona_1_origin_40                    22.87                USED      
2296     HUB_1                                    F_13                                     49.04                USED      
2304     H_Parma_1_origin_17                      F_12                                     38.36                USED      
2343     H_Pavia_9_origin_6                       F_22                                     21.42                USED      
2363     H_Milano_3_origin_25                     H_Milano_1_dest_25                       6.10                 USED      
2400     H_Bergamo_4_origin_31                    F_32                                     31.81                USED      
2409     F_13                                     F_20                                     41.22                USED      
2411     F_13                                     H_Parma_3_origin_33                      28.59                USED      
2412     F_13                                     H_Parma_3_origin_22                      28.59                USED      
2429     F_13                                     H_Parma_3_origin_37                      28.59                USED      
