NODES: 160
ARCS: 2996

NODE
Idn                                      x               y               Type           
950      F_12                                     F_19                                     41.22                USED      
959      F_12                                     F_11                                     29.22                USED      
971      F_12                                     H_Parma_1_dest_51                        38.36                USED      
973      F_12                                     H_Parma_1_dest_29                        38.36                USED      
979      F_12                                     H_Piacenza_1_origin_18                   33.32                USED      
1013     H_Bergamo_3_origin_21                    F_38                                     24.44                USED      
1047     H_Bergamo_3_origin_66                    F_38                                     24.44                USED      
1051     F_33                                     H_Bergamo_4_dest_52                      26.20                USED      
1053     F_33                                     H_Bergamo_4_dest_1                       26.20                USED      
1054     F_33                                     H_Bergamo_4_dest_23                      26.20                USED      
1056     F_33                                     H_Bergamo_4_dest_43                      26.20                USED      
1060     F_33                                     F_26                                     41.22                USED      
1061     F_33                                     F_39                                     50.30                USED      
1067     F_33                                     H_Bergamo_4_dest_47                      26.20                USED      
1068     F_33                                     H_Bergamo_4_dest_41                      26.20                USED      
1070     H_Milano_3_origin_8                      F_31                                     48.65                USED      
1113     H_Parma_2_origin_55                      F_11                                     47.18                USED      
1143     H_Parma_1_origin_56                      F_12                                     38.36                USED      
1198     H_Bergamo_3_origin_24                    F_38                                     24.44                USED      
1214     H_Milano_3_origin_50                     F_22                                     36.04                USED      
1242     H_Piacenza_2_origin_4                    F_17                                     48.55                USED      
1252     H_Parma_3_origin_5                       F_12                                     47.65                USED      
1288     H_Pavia_8_origin_36                      F_16                                     30.62                USED      
1316     H_Cremona_1_origin_25                    F_20                                     23.45                USED      
1345     H_Parma_2_origin_13                      F_11                                     47.18                USED      
1375     H_Parma_2_origin_52                      F_19                                     45.01                USED      
1430     H_Parma_3_origin_41                      F_13                                     28.59                USED      
1434     F_11                                     H_Piacenza_1_dest_48                     28.38                USED      
1436     F_11                                     F_12                                     29.22                USED      
1441     F_11                                     H_Parma_2_dest_38                        47.18                USED      
1445     F_11                                     H_Piacenza_1_dest_16                     28.38                USED      
1446     F_11                                     H_Parma_2_dest_32                        47.18                USED      
1447     F_11                                     F_10                                     29.22                USED      
1449     F_11                                     F_17                                     50.49                USED      
1476     H_Parma_3_origin_43                      F_13                                     28.59                USED      
1479     F_23                                     H_Pavia_10_dest_66                       28.04                USED      
1483     F_23                                     H_Pavia_9_origin_64                      26.60                USED      
1485     F_23                                     H_Pavia_9_origin_32                      26.60                USED      
1497     F_23                                     H_Pavia_9_dest_37                        26.60                USED      
1498     F_23                                     H_Pavia_10_origin_9                      28.04                USED      
1499     F_23                                     H_Pavia_1_origin_54                      49.10                USED      
1505     F_23                                     H_Pavia_8_origin_36                      26.99                USED      
1506     F_23                                     H_Milano_3_dest_55                       39.77                USED      
1510     F_23                                     H_Milano_2_dest_15                       37.28                USED      
1512     F_23                                     H_Pavia_8_origin_46                      26.99                USED      
1515     F_23                                     H_Pavia_9_dest_61                        26.60                USED      
1516     F_23                                     H_Pavia_9_dest_24                        26.60                USED      
1524     F_23                                     H_Pavia_1_origin_38                      49.10                USED      
1530     F_23                                     H_Milano_1_dest_5                        43.28                USED      
1531     F_23                                     H_Pavia_1_dest_3                         49.10                USED      
1532     F_23                                     H_Pavia_10_dest_26                       28.04                USED      
1533     F_23                                     H_Pavia_9_origin_34                      26.60                USED      
1535     F_23                                     H_Pavia_8_dest_62                        26.99                USED      
1536     F_23                                     H_Pavia_8_origin_10                      26.99                USED      
1537     F_23                                     F_17                                     50.42                USED      
1539     F_23                                     H_Pavia_9_origin_6                       26.60                USED      
1546     F_23                                     H_Pavia_9_origin_65                      26.60                USED      
1553     H_Parma_3_origin_15                      F_12                                     47.65                USED      
1574     F_32                                     F_31                                     28.89                USED      
1579     F_32                                     H_Bergamo_4_dest_40                      31.81                USED      
1581     F_32                                     H_Bergamo_2_origin_12                    37.11                USED      
1582     F_32                                     H_Bergamo_2_origin_61                    37.11                USED      
1583     F_32                                     H_Cremona_2_dest_70                      45.00                USED      
1593     F_32                                     H_Bergamo_1_origin_58                    35.22                USED      
1594     F_32                                     F_26                                     50.36                USED      
1614     H_Parma_1_origin_60                      F_12                                     38.36                USED      
1636     H_Bergamo_2_origin_48                    F_31                                     41.54                USED      
1672     H_Bergamo_2_origin_33                    F_31                                     41.54                USED      
1738     F_16                                     H_Pavia_9_dest_13                        29.26                USED      
1739     F_16                                     F_10                                     50.49                USED      
1745     F_16                                     F_17                                     29.11                USED      
