NODES: 25
ARCS: 319

NODE
Idn                                      name                           x               y               Type           
178      H_17_origin_2                            H_10_origin_3                            16.87                NOT USED  
179      H_17_origin_2                            H_3_dest_9                               22.61                NOT USED  
180      H_17_origin_2                            H_6_origin_8                             25.83                NOT USED  
181      H_17_origin_2                            H_6_origin_1                             25.83                NOT USED  
182      H_17_origin_2                            H_10_dest_1                              16.87                NOT USED  
183      H_17_origin_2                            H_9_dest_5                               27.00                NOT USED  
184      H_17_origin_2                            H_13_origin_7                            26.47                NOT USED  
185      H_17_origin_2                            H_9_dest_4                               27.00                NOT USED  
186      H_17_origin_2                            H_6_origin_9                             25.83                NOT USED  
187      H_17_origin_2                            HUB_3                                    11.31                NOT USED  
189      H_17_origin_2                            H_3_origin_5                             22.61                NOT USED  
190      H_17_origin_2                            H_22_dest_8                              28.73                NOT USED  
191      H_17_origin_2                            F_33                                     26.20                NOT USED  
192      F_18                                     H_10_origin_3                            16.19                NOT USED  
193      F_18                                     H_7_dest_3                               8.17                 NOT USED  
194      F_18                                     H_3_dest_9                               8.32                 NOT USED  
195      F_18                                     H_6_origin_8                             10.23                NOT USED  
196      F_18                                     H_16_dest_2                              19.61                NOT USED  
197      F_18                                     H_6_origin_1                             10.23                NOT USED  
198      F_18                                     H_10_dest_1                              16.19                NOT USED  
199      F_18                                     H_9_dest_5                               5.55                 NOT USED  
200      F_18                                     H_13_origin_7                            29.94                NOT USED  
201      F_18                                     H_9_dest_4                               5.55                 NOT USED  
202      F_18                                     H_16_origin_6                            19.61                NOT USED  
203      F_18                                     H_6_origin_9                             10.23                NOT USED  
204      F_18                                     HUB_3                                    20.79                NOT USED  
205      F_18                                     HUB_1                                    1.76                 NOT USED  
207      F_18                                     H_15_origin_4                            16.65                NOT USED  
209      F_18                                     F_26                                     15.86                NOT USED  
210      F_18                                     H_3_origin_5                             8.32                 NOT USED  
212      F_18                                     H_22_dest_8                              28.70                NOT USED  
213      F_18                                     H_2_origin_10                            19.69                NOT USED  
214      F_18                                     F_33                                     25.08                NOT USED  
215      H_15_origin_4                            H_10_origin_3                            29.62                NOT USED  
216      H_15_origin_4                            H_7_dest_3                               18.01                NOT USED  
217      H_15_origin_4                            H_3_dest_9                               23.84                NOT USED  
218      H_15_origin_4                            H_6_origin_8                             26.40                NOT USED  
219      H_15_origin_4                            H_16_dest_2                              15.39                NOT USED  
220      H_15_origin_4                            H_6_origin_1                             26.40                NOT USED  
221      H_15_origin_4                            H_10_dest_1                              29.62                NOT USED  
222      H_15_origin_4                            H_9_dest_5                               22.09                NOT USED  
224      H_15_origin_4                            H_16_origin_6                            15.39                NOT USED  
225      H_15_origin_4                            H_6_origin_9                             26.40                NOT USED  
226      H_15_origin_4                            HUB_1                                    17.84                NOT USED  
227      H_15_origin_4                            H_8_dest_10                              28.10                NOT USED  
228      H_15_origin_4                            F_18                                     16.65                NOT USED  
229      H_15_origin_4                            H_1_dest_7                               9.44                 NOT USED  
230      H_15_origin_4                            F_26                                     27.29                NOT USED  
231      H_15_origin_4                            H_3_origin_5                             23.84                NOT USED  
232      H_15_origin_4                            H_8_dest_6                               28.10                NOT USED  
233      H_15_origin_4                            H_2_origin_10                            15.47                NOT USED  
234      F_26                                     H_10_origin_3                            4.11                 NOT USED  
235      F_26                                     H_7_dest_3                               23.70                NOT USED  
236      F_26                                     H_3_dest_9                               9.50                 NOT USED  
237      F_26                                     H_6_origin_8                             18.62                NOT USED  
239      F_26                                     H_6_origin_1                             18.62                NOT USED  
240      F_26                                     H_10_dest_1                              4.11                 NOT USED  
241      F_26                                     H_9_dest_5                               15.74                NOT USED  
242      F_26                                     H_9_dest_4                               15.74                NOT USED  
243      F_26                                     H_16_origin_6                            19.24                NOT USED  
244      F_26                                     H_6_origin_9                             18.62                NOT USED  
245      F_26                                     HUB_3                                    9.15                 NOT USED  
246      F_26                                     HUB_1                                    16.69                NOT USED  
247      F_26                                     H_8_dest_10                              27.04                NOT USED  
248      F_26                                     H_17_origin_2                            20.35                NOT USED  
249      F_26                                     F_18                                     15.86                NOT USED  
250      F_26                                     H_15_origin_4                            27.29                NOT USED  
251      F_26                                     H_1_dest_7                               18.37                NOT USED  
252      F_26                                     H_3_origin_5                             9.50                 NOT USED  
253      F_26                                     H_8_dest_6                               27.04                NOT USED  
254      F_26                                     H_22_dest_8                              15.06                NOT USED  
255      F_26                                     H_2_origin_10                            19.28                NOT USED  
256      F_26                                     F_33                                     11.22                NOT USED  
